Epic-1,Satirical-1,Lyric-Rom-1,Epic-2,Didactic-1,Idyllic-1,Satirical-2,Lyric-Sad-1,Didactic-2,Idyllic-2,Lyric-Sad-2,Lyric-Rom-2,Gender,Age
2,9,3,2,8,9,13,3,6,3,1,2,1,21
2,13,5,2,5,6,5,6,6,9,2,2,1,22
13,2,2,10,2,2,2,2,6,9,8,7,1,21
13,5,8,2,2,6,3,9,7,2,12,3,1,21
13,6,5,1,2,2,5,9,2,9,10,2,1,20
13,5,1,5,1,10,2,5,2,9,10,3,2,21
13,3,5,1,6,1,2,1,6,1,1,5,2,21
13,5,5,1,9,1,13,9,2,6,5,10,1,21
2,5,5,5,1,5,2,1,6,1,5,3,1,21
10,2,9,2,1,1,5,5,6,9,5,10,1,21
2,2,5,3,5,7,5,10,7,10,1,9,1,21
10,12,5,2,10,10,5,6,2,1,6,10,1,20
1,9,5,2,1,9,5,1,2,6,10,6,1,23
10,5,10,1,7,9,2,3,2,3,2,1,1,21
1,2,5,1,6,3,1,5,9,9,10,2,1,20
2,5,1,2,1,2,6,10,6,9,5,5,2,19
13,2,5,2,1,1,2,5,9,2,10,2,2,24
2,2,7,1,6,10,10,5,7,9,10,2,2,19
10,5,5,2,6,13,12,1,2,6,6,5,2,22
10,12,5,1,10,1,3,10,2,1,1,5,2,20
2,5,9,1,5,3,1,2,3,3,1,1,2,22
5,2,5,1,1,10,1,9,9,6,1,3,2,22
5,5,1,2,2,12,12,13,10,1,5,5,2,22
3,5,9,2,5,5,13,1,6,2,1,10,2,21
2,5,5,13,5,5,2,2,6,5,1,5,2,22
13,2,5,2,13,5,2,3,1,9,5,2,2,22
8,9,5,10,6,6,2,6,1,2,10,5,2,19
13,5,5,1,8,5,5,9,2,1,5,7,1,21
10,6,5,13,10,1,10,2,10,10,10,10,1,20
2,5,6,10,1,3,2,5,2,3,6,9,1,20
13,5,5,1,5,1,5,8,3,2,5,7,1,22
1,5,8,1,5,8,5,9,2,10,5,6,1,21
1,5,8,1,5,1,5,9,2,6,5,3,1,21
2,12,5,2,13,6,5,5,6,6,1,12,2,20
3,5,12,2,2,1,5,1,2,9,1,5,1,19
2,5,5,2,1,10,5,6,1,9,1,9,1,19
10,10,9,5,6,10,9,2,10,8,1,13,1,19
10,2,10,10,10,10,13,10,10,10,6,10,1,18
6,5,3,6,2,10,5,5,2,7,8,2,1,20
13,5,6,2,10,3,13,5,10,6,5,8,1,21
2,5,5,2,10,6,2,10,10,6,5,6,1,18
10,2,10,3,3,10,2,6,10,10,10,2,2,18
1,1,1,6,1,1,2,6,6,10,1,3,2,18
10,6,1,10,5,10,2,6,6,10,1,5,2,19
6,12,10,2,8,8,2,12,8,2,12,7,2,20
2,1,5,3,8,1,2,6,8,9,10,1,2,20
6,5,9,1,6,5,2,13,10,10,2,1,2,18
5,5,10,5,2,5,6,13,2,10,5,8,2,19
5,5,8,2,10,2,10,5,6,6,5,9,2,19
2,5,1,2,2,2,5,8,6,7,5,5,2,22
2,6,5,2,10,6,13,6,2,10,10,1,2,19
2,5,6,1,2,13,10,10,1,10,7,5,2,20
2,2,10,1,6,10,10,5,6,1,10,1,1,20
2,13,6,5,5,6,5,5,7,9,1,9,1,20
10,3,8,10,7,10,5,9,7,2,5,3,1,20
2,6,5,1,6,1,1,5,6,10,3,5,2,18
2,5,10,1,6,10,13,10,6,7,1,10,1,20
5,5,5,10,3,6,2,10,10,10,10,10,1,20
1,5,9,1,9,10,10,3,6,10,2,2,1,20
1,9,5,10,1,6,13,6,10,3,7,5,1,20
1,2,2,1,7,7,2,3,6,1,1,3,1,20
13,5,1,2,1,9,7,10,9,10,10,1,1,18
2,1,1,2,10,2,5,9,6,1,9,2,1,26
13,5,8,2,10,3,5,3,3,10,6,3,1,20
13,8,2,13,2,2,2,2,7,8,7,2,1,26
2,5,10,2,5,10,2,10,10,13,3,2,1,20
9,6,9,2,9,7,2,2,6,10,10,3,1,20
9,1,9,2,9,2,10,1,10,7,6,13,2,26
3,5,1,10,1,1,2,1,7,8,5,10,1,20
9,10,5,2,8,7,5,7,6,7,9,8,1,20
2,3,5,2,6,6,13,10,10,10,2,3,1,26
13,3,5,2,7,6,13,10,10,10,2,3,2,26
2,2,9,2,8,9,5,5,6,6,6,7,1,20
10,1,6,10,13,10,1,10,10,10,10,10,2,20
5,5,1,10,13,1,5,5,2,9,5,5,2,20
2,10,10,2,13,10,1,10,6,8,6,3,2,20
2,10,6,1,7,10,6,10,8,1,3,2,2,20
2,5,7,5,9,7,2,7,10,10,8,6,1,20
2,2,6,9,7,7,5,9,2,2,2,10,2,20
13,2,6,2,3,10,13,6,1,1,3,10,2,20
1,5,3,13,10,10,3,9,13,7,7,9,1,20
13,2,8,2,1,9,5,9,7,6,3,5,1,20
1,2,5,6,7,9,13,9,2,9,5,6,2,20
2,13,5,2,6,9,13,6,2,10,9,6,2,26
2,5,5,9,10,10,9,2,6,3,1,2,1,32
13,2,9,1,6,3,2,9,10,10,2,1,1,20
13,10,3,3,13,2,1,3,6,2,1,3,1,20
5,5,6,13,13,10,5,5,6,10,5,10,1,20
10,10,13,2,10,10,10,6,9,10,10,10,2,20
10,10,7,1,10,9,10,7,10,10,1,9,1,22
9,9,5,1,6,5,5,3,5,10,6,9,2,20
